
==== AUDIT: short sol (Bot 100001) ====
Trades table: Cycle 15, Phase: IDLE, Invested: 10.3454
  [reset_cleared] tp | 0.0/281.93 @ 91.274841355 | CID: CQB_100001_TP_5_1774420538325
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774420605
  [reset_cleared] tp | 0.0/2.33 @ 91.274841355 | CID: CQB_100001_TP_5_1774420606945
  [reset_cleared] tp | 0.0/281.93 @ 91.42180962600001 | CID: CQB_100001_TP_5_1774420754574
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774420762
  [reset_cleared] tp | 0.0/2.33 @ 91.42180962600001 | CID: CQB_100001_TP_5_1774420767654
  [reset_cleared] tp | 0.0/281.93 @ 91.42180962600001 | CID: CQB_100001_TP_5_1774420969136
  [reset_cleared] adoption_reduce | 279.6000000229291/279.6000000229291 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774421046
  [reset_cleared] tp | 0.0/2.33 @ 91.42180962600001 | CID: CQB_100001_TP_5_1774421049146
  [canceled] entry | 0.0/0.13 @ 79.54 | CID: CQB_100001_ENTRY_1_1775545250013
  [canceled] entry | 0.0/0.13 @ 79.54 | CID: CQB_100001_ENTRY_1_1775545316806
  [canceled] entry | 0.0/0.13 @ 79.54 | CID: CQB_100001_ENTRY_1_1775545382695
  [filled] entry | 0.13/0.13 @ 79.54 | CID: CQB_100001_ENTRY_1_1775545450969
  [canceled] tp | 0.0/0.13 @ 78.3 | CID: CQB_100001_TP_1_1775546044241
  [new] grid | 0.0/0.24 @ 81.12 | CID: CQB_100001_GRID_2_1775546044483
  [cancelled] tp | 0.0/0.06 @ 78.3 | CID: CQB_100001_TP_1_1775546051431
  [filled] adoption_reduce | 0.07/0.07 @ 79.58 | CID: GAP_ADOPTION_100001_1775546726
  [filled] adoption_reduce | 0.07/0.07 @ 79.58 | CID: GAP_ADOPTION_100001_1775546814
  [filled] adoption_reduce | 0.07/0.07 @ 79.58 | CID: GAP_ADOPTION_100001_1775546838
  [filled] adoption_reduce | 0.07/0.07 @ 79.58 | CID: GAP_ADOPTION_100001_1775546911
  [filled] adoption_reduce | 0.07/0.07 @ 79.58 | CID: GAP_ADOPTION_100001_1775546989
>> CALCULATED DB NET: -2516.7500002046067

==== AUDIT: short sui (Bot 100000) ====
Trades table: Cycle 19, Phase: ACTIVE, Invested: 14.803111764705882
  [reset_cleared] adoption_add | 37.4/37.4 @ 0.0 | CID: CQB_100000_CARRY_1774324796560
  [reset_cleared] entry | 10.5/10.6 @ 0.9413 | CID: CQB_100000_ENTRY_1_1774324830440
  [reset_cleared] grid | 0.0/37.5 @ 0.9459 | CID: CQB_100000_GRID_2_1774324837599
  [reset_cleared] adoption_reduce | 10.5/10.5 @ 0.0 | CID: CQB_100000_SHRINK_1774324975
  [filled] entry | 11.5/11.5 @ 0.8706 | CID: CQB_100000_ENTRY_1_1775546873894
  [new] tp | 0.0/11.5 @ 0.8575 | CID: CQB_100000_TP_1_1775546901240
  [new] grid | 0.0/21.6 @ 0.8734 | CID: CQB_100000_GRID_2_1775546901503
  [filled] adoption | 5.5/5.5 @ 0.8711294117647059 | CID: GAP_ADOPTION_100000_1775546912
>> CALCULATED DB NET: -10.5
