2026-04-17 09:50:37,217 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309388267 (CID: CQB_10016_TP_5_1773899066876) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,217 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309388441 (CID: CQB_10016_TP_5_1773899082005) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,222 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309388483 (CID: CQB_10016_TP_5_1773899095878) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309388522 (CID: CQB_10016_TP_5_1773899109754) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309388870 (CID: CQB_10016_TP_5_1773899123732) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389112 (CID: CQB_10016_TP_5_1773899137693) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389148 (CID: CQB_10016_TP_5_1773899152393) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389181 (CID: CQB_10016_TP_5_1773899166010) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389407 (CID: CQB_10016_TP_5_1773899179853) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,223 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389821 (CID: CQB_10016_TP_5_1773899193650) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389885 (CID: CQB_10016_TP_5_1773899212943) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309389955 (CID: CQB_10016_TP_5_1773899227406) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309390229 (CID: CQB_10016_TP_5_1773899241258) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309390623 (CID: CQB_10016_TP_5_1773899255117) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309390704 (CID: CQB_10016_TP_5_1773899277104) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309390768 (CID: CQB_10016_TP_5_1773899291183) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,225 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309391125 (CID: CQB_10016_TP_5_1773899304939) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,227 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309391432 (CID: CQB_10016_TP_5_1773899319341) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,227 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309391494 (CID: CQB_10016_TP_5_1773899333007) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,227 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309391554 (CID: CQB_10016_TP_5_1773899348085) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,227 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309391845 (CID: CQB_10016_TP_5_1773899361928) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392236 (CID: CQB_10016_TP_5_1773899375354) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392264 (CID: CQB_10016_TP_5_1773899389593) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392290 (CID: CQB_10016_TP_5_1773899403861) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392392 (CID: CQB_10016_TP_5_1773899417646) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392897 (CID: CQB_10016_TP_5_1773899431600) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309392986 (CID: CQB_10016_TP_5_1773899445854) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393017 (CID: CQB_10016_TP_5_1773899460024) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393045 (CID: CQB_10016_TP_5_1773899473918) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393685 (CID: CQB_10016_TP_5_1773899496418) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393717 (CID: CQB_10016_TP_5_1773899512124) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393746 (CID: CQB_10016_TP_5_1773899525926) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309393917 (CID: CQB_10016_TP_5_1773899540008) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309394359 (CID: CQB_10016_TP_5_1773899553526) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309394415 (CID: CQB_10016_TP_5_1773899567818) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309394444 (CID: CQB_10016_TP_5_1773899581576) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309394474 (CID: CQB_10016_TP_5_1773899595650) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309394955 (CID: CQB_10016_TP_5_1773899609178) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395104 (CID: CQB_10016_TP_5_1773899623493) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395142 (CID: CQB_10016_TP_5_1773899637319) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,228 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395179 (CID: CQB_10016_TP_5_1773899651326) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395576 (CID: CQB_10016_TP_5_1773899665462) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395862 (CID: CQB_10016_TP_5_1773899679300) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395892 (CID: CQB_10016_TP_5_1773899693976) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309395962 (CID: CQB_10016_TP_5_1773899716093) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309396477 (CID: CQB_10016_TP_5_1773899730182) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309396618 (CID: CQB_10016_TP_5_1773899744076) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309396655 (CID: CQB_10016_TP_5_1773899758504) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309396675 (CID: CQB_10016_TP_5_1773899773207) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309397105 (CID: CQB_10016_TP_5_1773899787159) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309397332 (CID: CQB_10016_TP_5_1773899800874) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309397370 (CID: CQB_10016_TP_5_1773899814668) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309397410 (CID: CQB_10016_TP_5_1773899828949) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
2026-04-17 09:50:37,234 - StateReconciliation - INFO - 🔍 [OFFLINE-SYNC] Checking Order 309397609 (CID: CQB_10016_TP_5_1773899843004) | InDB: Yes | DBStatus: failed | DBCycle: 16 | DBFilled: 0.0
